Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared,Price
2017,Volvo,S90,57000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 7 000
2020,Honda,Accord,18347 կմ , Սեդան, Մեխանիկական, Ձախ, Բենզին, Կարմիր, մաքսազերծված չ,$ 6 800
2017,Volvo,S90,21735 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ, մաքսազերծված չ,$ 11 900
2008,Toyota,Land Cruiser Prado,107000 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 25 500
2018,Toyota,Highlander,17935 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 15 600
2019,Dodge,Charger,78000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 5 000
2020,Mazda,3,14500 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կարմիր, Մաքսազերծված,$ 23 300
2020,BMW,540,17356 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 19 100
2016,Dodge,Challenger,22835 կմ , Կուպե, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 6 500
2016,Mercedes-Benz,CLA 250,68000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 26 500
2022,BMW,540,6000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 25 000
2011,Mercedes-Benz,GL 500,170000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 18 400
2021,Hyundai,Kona,23000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 4 500
2019,Honda,Civic,40000 կմ , Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Կապույտ, մաքսազերծված չ,$ 5 000
2019,Toyota,Camry,45000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 8 900
2018,Nissan,Rogue,100520 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 6 100
2018,Honda,CR-V,40000 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 6 500
2010,Toyota,Camry,138500 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Ոսկեգույն, Մաքսազերծված,$ 9 700
2021,Kia,K5,19812 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 10 500
2019,BMW,X5,27591 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 49 000
2017,Mercedes-Benz,GLE 43 AMG,102340 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 37 000
2022,Mercedes-Benz,C 300,2589 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 28 500
2017,Mercedes-Benz,C 300,37175 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 9 500
2018,Honda,Accord,70000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 24 200
2017,Hyundai,Elantra,36000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, Մաքսազերծված,$ 14 000
2018,Kia,Stinger,60000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 12 000
2019,Land,Rover Range Rover Velar,49777 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 88 000
2010,Lexus,ES 350,129000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, Մաքսազերծված,֏ 6 800 000
2016,BMW,X5,76319 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 37 700
2017,Land,Rover Range Rover Evoque,64685 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 16 500
2019,BMW,X3,18246 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 9 300
2018,Porsche,Panamera,27931 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 25 100
2017,Hyundai,Sonata,73610 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 13 000
2019,Honda,CR-V,18247 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 12 300
2016,Hyundai,Tucson,22739 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 4 500
2017,Volkswagen,Jetta,34625 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 3 800
2016,Nissan,Pathfinder,25000 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 4 300
2019,Infiniti,QX50,18624 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 9 500
2021,Hyundai,Sonata,18234 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 10 100
2017,Volkswagen,Jetta,88954 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 2 600
2019,Toyota,Rav 4,18324 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 7 300
1994,Mitsubishi,Pajero,50000 կմ , Ամենագնաց, Մեխանիկական, Ձախ, Բենզին, Արծաթագույն, Մաքսազերծված,$ 10 500
2019,Toyota,Corolla,19347 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 5 100
2017,Honda,Civic,19688 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 4 500
2018,Ford,Escape,91004 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 6 200
2019,Nissan,Versa,57000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կարմիր, մաքսազերծված չ,$ 4 100
2019,Lincoln,Continental,38500 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 16 750
2021,Mercedes-Benz,EQS,8000 կմ , Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 145 000
2007,Mercedes-Benz,G 500,130000 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,Պայմ.
2016,Lexus,LX 570,98000 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 105 000
2017,Lexus,NX 200t,70000 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 8 200
2018,Toyota,Rav 4,190000 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 6 250
2018,Lexus,RX 350,63800 մղոն , Ունիվերսալ, Ավտոմատ, Ձախ, Բենզին, Բեժ, մաքսազերծված չ,$ 20 000
2020,Hyundai,Santa Fe,18247 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 8 100
2018,Kia,Forte,47000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ, մաքսազերծված չ,$ 3 200
2020,Toyota,Camry,52620 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 8 200
2019,Lexus,RX 350,18347 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 17 700
2008,Volkswagen,Touareg,118000 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Վարդագույն, Մաքսազերծված,$ 13 700
2022,Hyundai,Venue,3179 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 8 200
2017,Ford,Edge,80430 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 11 900
2019,Ford,Ecosport,47400 մղոն , Ունիվերսալ, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 4 600
2016,Mazda,3,23716 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 2 300
2017,Lexus,ES 350,23914 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Կարմիր, մաքսազերծված չ,$ 15 200
2017,Nissan,Rogue,23914 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 4 100
2017,Mercedes-Benz,E 200,100000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, Մաքսազերծված,$ 45 000
2016,Kia,Sorento,25000 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Կապույտ, մաքսազերծված չ,$ 4 500
2019,Mitsubishi,Outlander,10 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 5 500
2020,Toyota,Rav 4,21565 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 14 000
2019,Mazda,CX5,18374 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 6 500
2016,Chrysler,200,86000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, Մաքսազերծված,$ 13 900
2017,Hyundai,Veloster,33068 մղոն , Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 2 700
2014,Mercedes-Benz,C 180,140000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, Մաքսազերծված,$ 28 000
2016,Ford,Explorer,23914 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 5 300
2020,Kia,Sorento,31949 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 17 200
2006,Kia,Sorento,130000 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Գազ, Կապույտ, Մաքսազերծված,$ 7 000
2017,Audi,A6,21835 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Այլ գույն, մաքսազերծված չ,$ 7 200
2019,Chevrolet,Malibu,24335 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 9 500
2019,Toyota,C-HR,18354 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 6 600
2017,Chevrolet,Cruze,22741 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 2 800
2017,Lexus,IS 300,53138 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 14 500
2018,Mercedes-Benz,C 300,19347 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 10 500
2018,BMW,320,71128 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 7 500
2017,Honda,Accord,85000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 7 500
2017,Hyundai,Elantra,22931 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 3 100
2017,Hyundai,Sonata,19925 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 3 100
2021,BMW,420,5506 մղոն , Կուպե, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 18 000
2012,Mazda,5,88000 մղոն , Ունիվերսալ, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 7 300
2021,Toyota,Tundra,33200 մղոն , Պիկապ, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 23 000
2016,Kia,Forte,140000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 11 700
2021,Hyundai,Elantra,25736 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ, մաքսազերծված չ,$ 11 500
2017,Volkswagen,Golf,30400 մղոն , Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 6 500
2018,Toyota,C-HR,19357 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 5 700
2018,Nissan,Rogue,12000 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 4 050
2021,Honda,Pilot,19000 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 14 500
2016,Ford,Fusion,22947 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 2 500
2020,Kia,Rio,18345 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 2 100
2020,Lexus,RX 350,18347 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 18 400
2017,Kia,Sorento,20834 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 4 500
2020,Mazda,6,35828 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ, մաքսազերծված չ,$ 8 500
2020,Volkswagen,Tiguan,37700 մղոն , Ունիվերսալ, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,Պայմ.
2017,Infiniti,Q50,48950 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 4 800
2017,Jeep,Grand Cherokee,71000 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 7 400
2016,Mercedes-Benz,CLA 250,23845 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 6 100
2020,Lexus,ES 300h,5470 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 27 000
2016,Mazda,CX5,24100 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 4 000
2019,Ford,Fusion,18257 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 4 500
2019,Ford,F150,18324 կմ , Պիկապ, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 12 300
2017,Ford,Taurus,23914 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 6 500
2018,Tesla,Model 3,14400 մղոն , Սեդան, Ավտոմատ, Ձախ, Էլեկտրական, Սպիտակ, մաքսազերծված չ,$ 17 000
2017,Hyundai,Santa Fe,24870 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 5 600
2020,Nissan,Sentra,45395 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 6 700
2016,Hyundai,Sonata,77062 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 9 500
2018,Mitsubishi,Outlander,54941 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Կարմիր, մաքսազերծված չ,$ 5 900
2019,BMW,X5,41032 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 39 000
2020,Ford,Mustang,30000 կմ , Կուպե, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, Մաքսազերծված,$ 70 000
2017,Ford,Focus,80000 կմ , Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 2 500
2018,Acura,RDX,19387 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 8 700
2019,Kia,Optima,19347 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 4 500
2000,Volkswagen,Passat,240000 կմ , Սեդան, Մեխանիկական, Ձախ, Գազ, Արծաթագույն, Մաքսազերծված,$ 5 000
2019,Mercedes-Benz,G 63 AMG,19500 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 305 000
2019,Nissan,Sentra,24300 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ, մաքսազերծված չ,$ 3 100
2016,Mini,Cooper,38944 մղոն , Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 6 800
2010,Kia,Forte Coupe,179000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Այլ գույն, Մաքսազերծված,$ 8 300
2020,Mazda,CX5,44000 մղոն , Ունիվերսալ, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 10 000
2017,Kia,Sorento,21934 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 5 100
2019,Mercedes-Benz,C 450,25414 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 19 000
2020,Kia,Forte,17354 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 3 500
2018,Mercedes-Benz,C 300,19347 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 9 900
2018,Chevrolet,Impala,19634 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 2 200
2016,Mercedes-Benz,C 300,23196 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 7 100
2021,Mazda,3,22000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 60 000
2017,Mazda,6,6800 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կարմիր, Մաքսազերծված,$ 15 500
2019,Nissan,Sentra,55000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 5 100
